Period,Oil_production,Oil_supply,Oil_price,Unemployment_rate,Trade_balance,Manufacturing_PMI,HMI,CPI,Employment_change,Mortgage_rate_15_years,Mortgage_rate_30_years,House_sold,House_price_index,Auto_sales,Auto_production,Gold_price,Money_stock_M1,Money_stock_M2,IPI,Effective_federal_fund_rate,Housing_starts,Consumer_sentiment,Inflation_rate,DJI,NYA,IXIC,GSPC
1/1/92,228178,309436.2,18.79,7.3,"-2,026",50.8,44,138.1,52,8.006,8.432,676,102.28,560.5,419.7,354.45,910.4,3380.9,63.8916,4.03,1176,67.5,2.6,3267.699951,2413.030029,633.469971,412.700012
1/2/92,214269,316640.6,19.01,7.4,-831,50,49,138.6,-63,8.3825,8.7625,639,102.96,651.1,439.4,353.91,925.2,3399.6,64.3381,4.06,1250,68.8,2.8,3235.5,2360.590088,603.77002,403.690002
1/3/92,227798,323606.2,18.92,7.4,"-2,641",43.2,46,139.3,54,8.5775,8.935,553,103.07,720.4,497,344.34,936.7,3403.5,64.902,3.98,1297,76,3.2,3359.100098,2413.97998,578.679993,414.950012
1/4/92,218775,337042.7,20.23,7.4,"-3,109",48.7,46,139.5,159,8.47,8.8525,546,102.98,715.8,507.3,338.62,943.8,3399.3,65.3746,3.73,1099,77.2,3.2,3396.899902,2420.01001,585.309998,415.350006
1/5/92,222227,334208.8,20.98,7.6,"-3,919",47.3,47,139.7,126,8.294,8.672,554,103.16,733.7,544.2,337.24,950.6,3398.2,65.5902,3.82,1214,79.2,3,3318.5,2372,563.599976,408.140015
1/6/92,215019,338291.5,22.39,7.8,"-2,824",52.7,45,140.2,68,8.0775,8.51,596,103.51,824.8,559,340.81,954.3,3393,65.6132,3.76,1145,80.4,3.1,3393.800049,2465.27002,580.830017,424.209991
1/7/92,221064,340888.3,21.78,7.7,"-2,781",54.6,46,140.5,71,7.67,8.128,627,103.77,733.6,349.4,352.72,963.3,3393.3,66.1891,3.25,1139,76.6,3.2,3257.399902,2411.129883,563.119995,414.029999
1/8/92,214575,330858.3,21.34,7.6,"-4,455",53.6,49,140.9,138,7.49,7.975,636,104.35,644.8,431.5,343.06,973.7,3398.2,65.8651,3.3,1226,76.1,3.1,3271.699951,2426.25,583.27002,417.799988
1/9/92,210904,327672.8,21.88,7.6,"-3,530",53.5,48,141.3,36,7.405,7.9225,650,104.61,673.7,476.4,345.43,988,3409.6,66.0268,3.22,1186,75.6,3,3226.300049,2437.98999,605.169983,418.679993
1/10/92,220898,333957.2,21.69,7.3,"-3,520",51,50,141.8,182,7.546,8.088,621,104.78,694.5,533.1,344.38,1003.7,3423.1,66.511,3.1,1244,73.3,3.2,3305.199951,2510.72998,652.72998,431.350006
1/11/92,210724,321867.3,20.34,7.4,"-3,968",55.4,54,142,136,7.795,8.305,614,105.04,601,458.7,335.02,1015.7,3425.8,66.8027,3.09,1214,85.3,3,3301.110107,2539.919922,676.950012,435.709991
1/12/92,220200,332800.2,19.41,7.4,"-5,603",56.1,56,141.9,212,7.742,8.206,650,104.63,660.5,450,334.82,1024.9,3424.1,66.8587,2.92,1227,91,2.9,3310,2558,696.340027,438.779999
1/1/93,215791,292206.7,19.03,7.3,"-3,871",53.7,55,142.6,309,7.51,7.9925,596,104.38,562.2,453.3,329.01,1030.4,3418.3,67.1432,3.02,1210,89.3,3.3,3370.810059,2580.840088,670.77002,443.380005
1/2/93,194393,311617.3,20.09,7.1,"-3,596",53.2,52,143.1,242,7.17,7.6825,604,104.06,593.4,499.3,329.31,1033.5,3413.6,67.4314,3.03,1210,86.6,3.2,3435.110107,2637.300049,690.130005,451.670013
1/3/93,216198,314819.7,20.32,7,"-6,777",52.6,53,143.6,-49,6.99,7.495,602,104.68,735.1,589.5,330.08,1038.4,3410.9,67.3651,3.07,1083,85.9,3.1,3427.550049,2574.280029,661.419983,440.190002
1/4/93,206439,324876.6,20.25,7.1,"-6,445",55.7,52,144,308,6.96,7.472,701,105.57,768.7,538.6,342.15,1047.6,3410.6,67.5583,2.96,1258,85.6,3.2,3527.429932,2628.629883,700.530029,450.190002
1/5/93,212255,323118.8,19.95,7.1,"-4,369",53.6,51,144.2,266,6.9275,7.465,626,105.9,812.1,548.4,367.18,1065.9,3436.2,67.3459,3,1260,80.3,3.2,3516.080078,2633.919922,703.950012,450.529999
1/6/93,203842,335721.3,19.09,7,"-6,929",55.1,53,144.4,182,6.915,7.4175,653,106.7,835.6,559.5,371.89,1075.1,3441.6,67.4753,3.04,1280,81.5,3,3539.469971,2627.469971,704.700012,448.130005
1/7/93,207339,336371.2,17.89,6.9,"-6,382",49.5,57,144.4,301,6.718,7.206,655,106.7,763.5,297.9,392.19,1084.6,3441.2,67.6707,3.06,1254,77,2.8,3651.25,2716.179932,742.840027,463.559998
1/8/93,209492,334404.4,18.01,6.8,"-5,581",49.7,60,144.8,156,6.6275,7.1125,645,107.16,697.1,437.1,378.84,1094.2,3444.9,67.5985,3.03,1300,77.3,2.8,3555.120117,2698.72998,762.780029,458.929993
1/9/93,201347,326018.2,17.5,6.7,"-7,031",57.4,62,145.1,240,6.44,6.915,726,107.38,704,461.9,355.28,1104.2,3451.4,67.9241,3.09,1343,77.9,2.7,3680.590088,2742.610107,779.26001,467.829987
1/10/93,212003,322287.8,18.15,6.8,"-6,594",54.7,66,145.7,286,6.374,6.834,704,107.53,717.3,547.6,364.18,1113.1,3455.8,68.439,2.99,1392,82.7,2.8,3683.949951,2694.080078,754.390015,461.790009
1/11/93,207349,325399.9,16.61,6.6,"-7,016",53.7,71,145.8,263,6.6875,7.155,769,107.7,667.6,551.3,373.83,1124.1,3469.2,68.7289,3.02,1376,81.2,2.7,3754.090088,2739.439941,776.799988,466.450012
1/12/93,212585,328422.6,14.52,6.5,"-5,719",49,71,145.8,312,6.682,7.172,812,107.9,661.1,494.3,383.3,1129.6,3473.6,69.0884,2.96,1533,88.2,2.7,3978.360107,2824.23999,800.469971,481.609985
1/1/94,211320,299392,15.03,6.6,"-6,207",52.4,70,146.2,271,6.565,7.06,619,107.85,606.1,529.7,386.88,1131.6,3473.8,69.3476,3.05,1272,94.3,2.5,3832.02002,2741.030029,792.5,467.140015
1/2/94,189569,314953.6,14.78,6.6,"-9,245",49.5,64,146.7,200,6.655,7.1525,686,107.99,698.6,584.2,381.91,1136.3,3474.5,69.3617,3.25,1337,93.2,2.5,3635.959961,2612.350098,743.460022,445.769989
1/3/94,209114,324234,14.68,6.5,"-6,466",57,61,147.2,465,7.1825,7.675,747,108.71,876.2,658.6,384.13,1140.1,3479,70.0831,3.34,1564,91.5,2.5,3681.689941,2647.23999,733.840027,450.910004
1/4/94,198363,330060.6,16.42,6.4,"-7,887",59.9,61,147.4,350,7.8,8.316,692,109.31,785.8,564.1,377.27,1141.1,3479.9,70.4425,3.56,1465,92.6,2.4,3758.370117,2667.120117,735.190002,456.5
1/5/94,207334,330510.6,17.89,6.1,"-7,728",38.4,59,147.5,333,8.0775,8.5975,691,109.84,814.5,608.3,381.43,1143.3,3489.3,70.824,4.01,1526,92.8,2.3,3624.959961,2592.26001,705.960022,444.269989
1/6/94,198318,342276.6,19.06,6.1,"-8,380",52.8,57,148,315,7.91,8.3975,621,110.47,871.4,613.7,385.64,1145.2,3477.9,71.2811,4.25,1409,91.2,2.5,3764.5,2671.139893,722.159973,458.26001
1/7/94,201527,336288.9,19.66,6.1,"-8,739",53.6,53,148.4,373,8.112,8.614,628,110.56,713.2,284.5,385.49,1150.7,3486.3,71.3953,4.26,1439,89,2.8,3913.419922,2770.209961,765.619995,475.48999
1/8/94,202869,343779.9,18.38,6,"-8,303",46.1,53,149,282,8.02,8.5125,656,110.93,782.3,539.6,380.36,1150.6,3483.7,71.8011,4.47,1450,91.7,2.9,3843.189941,2701.800049,764.289978,462.709991
1/9/94,198264,333013.4,17.45,5.9,"-8,310",50.5,50,149.4,353,8.132,8.64,677,110.77,741.8,558.9,391.58,1151.9,3484,72.0617,4.73,1474,91.5,3,3908.120117,2735.320068,777.48999,472.350006
1/10/94,206398,330463.6,17.72,5.8,"-9,158",56,49,149.5,213,8.3875,8.925,715,110.85,738,593.3,389.77,1150.2,3482.1,72.6829,4.76,1450,92.7,2.6,3739.22998,2626.620117,750.320007,453.690002
1/11/94,198850,329429.5,18.07,5.6,"-9,615",55,50,149.7,420,8.665,9.17,646,110.98,670.7,550.7,384.39,1150.9,3485,73.1379,5.29,1511,91.6,2.7,3834.439941,2653.370117,751.960022,459.269989
1/12/94,209550,334972.5,17.16,5.5,"-8,456",48,43,149.7,277,8.804,9.198,629,110.65,691.8,515.6,379.29,1150.7,3483.8,73.8818,5.45,1455,95.1,2.7,3843.860107,2706.129883,755.200012,470.420013
1/1/95,207148,305943.5,18.04,5.6,"-9,324",56.5,40,150.3,324,8.795,9.1475,626,110.73,581.3,547.2,378.55,1151.4,3489.4,74.0142,5.53,1407,97.6,2.8,4011.050049,2798.340088,793.72998,487.390015
1/2/95,190245,322421.1,18.57,5.4,"-8,817",51.3,42,150.9,204,8.46,8.8275,559,111.14,647.8,582.5,376.64,1147.4,3486.7,73.9247,5.92,1316,95.1,2.9,4157.689941,2865.899902,817.210022,500.709991
1/3/95,204613,331126.4,18.54,5.4,"-9,708",53.9,40,151.4,221,8.064,8.462,616,111.42,798.3,677.3,382.12,1146.7,3487.9,74.0284,5.98,1249,90.3,2.9,4321.27002,2932.199951,843.97998,514.710022
1/4/95,198111,329827.7,19.9,5.8,"-9,609",53.4,42,151.9,162,7.88,8.32,621,111.9,685.5,519.4,391.03,1149.3,3495.9,74.014,6.05,1267,92.5,3.1,4465.140137,3028.73999,864.580017,533.400024
1/5/95,205509,341311.1,19.74,5.6,"-9,090",49.7,43,152.2,-15,7.51,7.955,674,112.27,824.7,580.5,385.22,1145.3,3520.9,74.2239,6.01,1314,89.8,3.2,4556.100098,3085.840088,933.450012,544.75
1/6/95,197359,353167.9,18.45,5.6,"-10,623",50.3,45,152.5,234,7.062,7.566,725,113.09,852.3,573.7,387.56,1144.2,3545.7,74.4807,6,1281,92.7,3,4708.470215,3186.080078,1001.210022,562.059998
1/7/95,199912,343697.5,17.33,5.7,"-7,688",50.2,49,152.5,96,7.0875,7.6075,765,113.58,720.8,288.3,386.23,1145.5,3564,74.1902,5.85,1461,94.4,2.8,4610.560059,3193.27002,1020.109985,561.880005
1/8/95,199846,354811.1,18.02,5.7,"-6,704",50.1,50,152.9,253,7.36,7.86,701,113.93,805.9,504.4,383.67,1145.4,3585.5,75.1211,5.74,1416,96.2,2.6,4789.080078,3312.330078,1043.540039,584.409973
1/9/95,192484,337234.6,18.23,5.6,"-5,924",46.3,51,153.2,244,7.16,7.636,678,113.84,713.1,522.4,383.06,1142,3598.6,75.4216,5.8,1369,88.9,2.5,4755.47998,3273.72998,1036.060059,581.5
1/10/95,199055,338400.5,17.43,5.5,"-6,114",50.7,55,153.7,153,7.0075,7.475,696,113.76,698.6,579,383.14,1137.3,3609.7,75.3448,5.76,1369,90.2,2.8,5074.490234,3421.550049,1059.199951,605.369995
1/11/95,197559,337841,17.99,5.6,"-6,514",59,52,153.6,149,6.8875,7.3775,664,113.8,641.4,516.7,385.31,1134.1,3616.4,75.531,5.8,1452,88.2,2.6,5117.120117,3484.149902,1052.130005,615.929993
1/12/95,202428,333498.6,19.03,5.6,"-6,271",57,53,153.5,133,6.736,7.2,709,113.92,650.7,434.7,387.44,1127.5,3626.4,75.8317,5.6,1431,91,2.5,5395.299805,3595.389893,1059.790039,636.02002
1/1/96,201354,311386.5,18.86,5.6,"-8,465",55.8,54,154.4,-19,6.545,7.03,714,114.04,564.4,472.8,399.45,1123.5,3644.6,75.3347,5.56,1467,89.3,2.7,5485.620117,3624.669922,1100.050049,640.429993
1/2/96,190727,326881.1,19.09,5.5,"-7,319",48.7,49,154.9,432,6.56,7.075,769,114.2,687.7,541.2,404.76,1118.5,3658.7,76.5148,5.22,1491,88.5,2.7,5587.140137,3668.23999,1101.400024,645.5
1/3/96,203715,331178.9,21.33,5.5,"-7,756",53.5,59,155.7,267,7.114,7.624,721,114.97,789.5,420.8,396.21,1122.6,3683.8,76.4339,5.31,1424,93.7,2.8,5569.080078,3713.919922,1190.52002,654.169983
1/4/96,193317,342258.7,23.5,5.6,"-8,744",50.4,60,156.3,163,7.44,7.925,736,115.58,757.1,565.1,392.85,1124.8,3694.3,77.1163,5.22,1516,92.7,2.9,5643.180176,3794.169922,1243.430054,669.119995
1/5/96,198208,345818.8,21.17,5.6,"-9,259",58,61,156.6,322,7.578,8.07,746,116.21,867.2,610.7,391.93,1116.5,3705.4,77.695,5.24,1504,89.4,2.9,5654.629883,3798.080078,1185.02002,670.630005
1/6/96,193746,348403.5,20.42,5.3,"-7,460",58.5,59,156.7,287,7.8325,8.32,721,116.7,788.7,575.9,385.27,1115.2,3718.6,78.3435,5.27,1467,92.4,2.8,5528.910156,3623.620117,1080.589966,639.950012
1/7/96,196471,353754.4,21.3,5.5,"-10,132",36.7,58,157,249,7.7675,8.245,770,117.13,728.1,368.6,383.47,1112.4,3733.2,78.208,5.4,1472,94.7,3,5616.209961,3711.27002,1141.5,651.98999
1/8/96,197162,355688.7,21.9,5.1,"-10,357",56,56,157.3,179,7.518,8.002,826,117.09,745.1,543,387.35,1101.6,3740.1,78.6658,5.22,1557,95.3,2.9,5882.169922,3884.050049,1226.920044,687.330017
1/9/96,194456,335198.3,23.97,5.2,"-10,195",46.2,55,157.8,225,7.7525,8.23,770,117.1,691.8,518.2,383.14,1096.2,3748.5,79.1997,5.3,1475,94.7,3,6029.379883,3959.860107,1221.51001,705.27002
1/10/96,200907,344902.4,24.88,5.2,"-6,635",48.7,56,158.3,250,7.43,7.915,720,116.96,673.1,547.4,381.07,1085.7,3763.4,79.1389,5.24,1392,96.5,3,6521.700195,4212.890137,1292.609985,757.02002
1/11/96,194268,340286.4,23.71,5.4,"-7,268",49.9,54,158.6,299,7.142,7.618,771,117.07,586.3,489.1,377.85,1083.5,3783.8,79.8221,5.31,1489,99.2,3.3,6448.27002,4148.069824,1291.030029,740.73999
1/12/96,201685,337018.8,25.23,5.4,"-10,475",51.5,55,158.6,171,7.0975,7.5975,805,117.08,599.6,382.4,369,1081.3,3805.3,80.3307,5.29,1370,96.9,3.3,6813.089844,4356.169922,1379.849976,786.159973
1/1/97,198466,317585,25.13,5.3,"-11,269",50.5,54,159.1,234,7.328,7.824,830,116.91,608.6,483.8,355.11,1081.2,3820.1,80.4255,5.25,1355,97.4,3,6877.740234,4393.490234,1309,790.820007
1/2/97,182400,329821.2,22.18,5.2,"-9,776",52.9,52,159.6,303,7.15,7.65,801,117.19,644.6,511.8,346.58,1078.8,3831.9,81.4045,5.19,1486,99.7,3,6583.47998,4214.160156,1221.699951,757.119995
1/3/97,200013,335799.6,20.97,5.2,"-8,383",51.8,57,160,316,7.405,7.8975,831,118.15,762.3,500.8,351.81,1072.5,3846.8,81.9717,5.39,1457,100,2.8,7009,4408.609863,1260.76001,801.340027
1/4/97,193239,344051.8,19.7,5.1,"-8,086",53.6,56,160.2,292,7.675,8.1425,744,118.67,694.7,553.7,344.47,1063.9,3862.6,82.0209,5.51,1492,101.4,2.5,7331,4671.259766,1400.319946,848.280029
1/5/97,200702,348075.6,20.82,4.9,"-8,394",54.2,55,160.1,260,7.472,7.944,760,119.48,767.3,533.6,343.84,1063.8,3874.2,82.5095,5.5,1442,103.2,2.2,7672.799805,4889.720215,1442.069946,885.140015
1/6/97,193252,351113.5,19.26,5,"-7,154",55.8,56,160.3,266,7.235,7.69,793,119.94,735.4,496.1,340.76,1066.1,3890.9,82.9253,5.56,1494,104.5,2.3,8222.599609,5228.709961,1593.810059,954.309998
1/7/97,198691,363440,19.66,4.9,"-7,033",55.2,55,160.5,306,7.0375,7.4975,805,120.24,735,340.1,324.1,1065.5,3908.9,83.5464,5.52,1437,107.1,2.2,7622.399902,4974.72998,1587.319946,899.469971
1/8/97,196769,358387.5,19.95,4.8,"-8,743",53.2,58,160.8,-31,7.016,7.48,815,120.63,735.6,490.4,324.01,1075.3,3942.8,84.434,5.54,1390,104.4,2.2,7945.299805,5257.580078,1685.689941,947.280029
1/9/97,194575,343092.7,19.8,4.9,"-9,269",40.8,59,161.2,512,6.9875,7.43,840,120.4,663.6,496.9,322.82,1066.9,3958.4,85.1978,5.54,1546,106,2.2,7442.100098,5087.439941,1593.609985,914.619995
1/10/97,200482,351432.4,21.33,4.7,"-9,089",48.5,59,161.6,340,6.848,7.294,800,120.83,659.8,573.7,324.87,1065.6,3977.5,85.9177,5.5,1520,105.6,2.1,7823.100098,5277.350098,1600.550049,955.400024
1/11/97,193778,337550.4,20.19,4.6,"-9,786",57.8,58,161.5,306,6.76,7.205,864,120.96,558.5,466.8,306.04,1070.9,4000,86.6748,5.52,1510,107.2,1.8,7908.299805,5405.189941,1570.349976,970.429993
1/12/97,202464,348581.1,18.33,4.7,"-11,289",54,60,161.3,303,6.6625,7.095,793,121.05,652.3,430.6,288.74,1072.3,4018,86.9454,5.5,1566,102.1,1.7,7906.5,5399.259766,1619.359985,980.280029
1/1/98,202756,323496,16.72,4.6,"-10,776",51.7,60,161.6,276,6.576,6.994,872,121.16,522.5,433.8,289.1,1074,4041.2,87.3838,5.56,1525,106.6,1.6,8545.719727,5754.859863,1770.51001,1049.339966
1/2/98,181321,335167.1,16.06,4.6,"-11,564",56.5,65,161.9,196,6.6375,7.0425,866,122.05,611.6,456.7,297.49,1077.8,4073.8,87.482,5.51,1584,110.4,1.4,8799.80957,6056.419922,1835.680054,1101.75
1/3/98,198639,343963.5,15.12,4.7,"-12,880",53.5,66,162.2,151,6.7425,7.1275,836,122.92,719.9,510.7,295.94,1076.9,4099.3,87.552,5.49,1567,106.5,1.4,9063.370117,6104.950195,1868.410034,1111.75
1/4/98,194483,351645.5,15.35,4.3,"-13,940",50.3,67,162.5,280,6.78,7.14,866,123.82,706.7,476.1,308.29,1076.5,4125.1,87.854,5.45,1540,108.7,1.4,8899.950195,5977.120117,1778.869995,1090.819946
1/5/98,196754,355069.1,14.91,4.4,"-14,202",52.9,67,162.8,404,6.784,7.144,887,124.75,789.1,481.1,299.1,1079.1,4148.7,88.4226,5.49,1536,106.5,1.7,8952.019531,6119.339844,1894.73999,1133.839966
1/6/98,188018,368321.4,13.72,4.5,"-13,247",52.3,70,163,219,6.6675,6.9975,923,125.95,813.9,407.5,292.32,1076.3,4168.5,87.8558,5.56,1641,105.6,1.7,8883.290039,5977.009766,1872.390015,1120.670044
1/7/98,192026,370309.5,14.17,4.5,"-13,949",57.3,71,163.2,129,6.624,6.952,876,126.2,630.7,233.9,292.87,1075.1,4188.3,87.5421,5.54,1698,105.2,1.7,7539.069824,5081.72998,1499.25,957.280029
1/8/98,192282,363216.5,13.47,4.5,"-16,028",51,72,163.4,342,6.6125,6.9225,846,126.71,669.8,505.8,284.11,1075.9,4212.7,89.3341,5.55,1614,104.4,1.6,7842.620117,5334.129883,1693.839966,1017.01001
1/9/98,173676,355466.6,15.03,4.6,"-14,820",44.1,71,163.6,223,6.4025,6.7225,864,127.16,680.2,545.6,288.98,1079.9,4250.9,89.1794,5.51,1582,100.9,1.5,8592.099609,5745.240234,1771.390015,1098.670044
1/10/98,190420,359486.6,14.46,4.5,"-14,815",43.9,73,164,199,6.364,6.71,893,127.44,708.3,564.3,295.93,1086,4290.7,89.8907,5.07,1715,97.4,1.5,9116.549805,6042.890137,1949.540039,1163.630005
1/11/98,184198,347231.3,13,4.4,"-15,173",56.7,77,164,282,6.505,6.865,995,127.96,555.9,442.4,294.12,1094.9,4329.7,89.8458,4.83,1660,102.7,1.5,9181.429688,6299.930176,2192.689941,1229.22998
1/12/98,187347,356435.4,11.35,4.4,"-14,745",55.8,78,163.9,346,6.39,6.738,949,128.18,676.3,434.4,291.68,1095,4358.5,90.1893,4.68,1792,100.5,1.6,9358.830078,6348.890137,2505.889893,1279.640015
1/1/99,184864,323265.9,12.52,4.3,"-15,946",52.4,75,164.3,126,6.425,6.785,875,128.7,543.5,422.4,287.08,1098.1,4385.5,90.6043,4.63,1748,103.9,1.7,9306.580078,6201.069824,2288.030029,1238.329956
1/2/99,167034,347337.8,12.01,4.4,"-18,786",56.4,71,164.5,410,6.4375,6.8075,848,129.19,666.9,452.5,287.33,1096.7,4408.3,91.0816,4.76,1670,108.1,1.6,9786.160156,6382.200195,2461.399902,1286.369995
1/3/99,182362,357105.4,14.68,4.2,"-17,900",57.4,71,165,107,6.675,7.04,863,130.23,784,548.1,285.96,1096.6,4415.3,91.235,4.81,1710,105.7,1.7,10789.04004,6706.919922,2542.860107,1335.180054
1/4/99,176616,359659.2,17.31,4.3,"-18,254",33.3,71,166.2,376,6.528,6.916,918,131.23,732.6,490.6,282.62,1101.6,4443.3,91.4677,4.74,1553,104.6,2.3,10559.74023,6579.609863,2470.52002,1301.839966
1/5/99,182122,360674.8,17.72,4.2,"-20,229",50.5,75,166.2,211,6.7475,7.145,888,132.46,826.3,476.2,276.44,1103.8,4467.3,92.1525,4.74,1611,106.8,2.1,10970.79981,6853.149902,2686.120117,1372.709961
1/6/99,172808,373982,17.92,4.3,"-23,115",50.2,77,166.2,260,7.1775,7.55,923,133.53,825.8,511,261.31,1099.8,4488.8,92.0042,4.76,1559,107.3,2,10655.15039,6619.899902,2638.48999,1328.719971
1/7/99,179738,373161.5,20.1,4.3,"-23,421",51.2,75,166.7,326,7.256,7.632,900,134.19,765.9,283,256.08,1099.1,4515.8,92.5769,4.99,1669,106,2.1,10829.28027,6474.609863,2739.350098,1320.410034
1/8/99,179187,368014.3,21.28,4.2,"-22,977",51.4,72,167.1,160,7.5275,7.9425,893,134.93,792.2,495.9,256.69,1099.2,4533,92.9517,5.07,1648,104.5,2.3,10336.9502,6268,2746.159912,1282.709961
1/9/99,174113,357659.4,23.8,4.2,"-22,899",45.3,72,167.9,214,7.4425,7.8225,826,135,710.2,492.7,264.74,1096.5,4548.8,92.5954,5.22,1635,107.2,2.6,10729.86035,6613.549805,2966.429932,1362.930054
1/10/99,184361,357262.6,22.69,4.1,"-23,531",42.3,69,168.2,400,7.466,7.852,872,135.62,683,511.7,310.72,1103.3,4572.2,93.8128,5.2,1608,103.2,2.6,10877.80957,6673.930176,3336.159912,1388.910034
1/11/99,178811,354350.4,25,4.1,"-25,224",55.8,70,168.3,293,7.355,7.7375,863,135.79,633.3,480,293.18,1110.7,4591.6,94.2587,5.42,1648,107.2,2.6,11497.12012,6876.100098,4069.310059,1469.25
1/12/99,184716,375695.1,26.1,4,"-26,337",52.6,70,168.3,296,7.522,7.912,873,136.03,674,413.4,283.07,1122.2,4619,94.9777,5.3,1708,105.4,2.7,10940.53027,6574.009766,3940.350098,1394.459961
1/1/00,179316,311407.7,27.26,4,"-27,088",52.3,69,168.8,230,7.8025,8.21,873,137.4,616.7,443.6,284.32,1122,4647.2,94.9864,5.45,1636,112,2.7,10128.30957,6266.419922,4696.689941,1366.420044
1/2/00,169703,345228.4,29.37,4.1,"-29,930",48.7,68,169.8,130,7.9325,8.325,856,137.2,763.5,482.4,299.86,1108.4,4660.6,95.2576,5.73,1737,111.3,3.2,10921.91992,6848.609863,4572.830078,1498.579956
1/3/00,183464,347882.2,29.84,4,"-31,154",49.6,64,171.2,468,7.832,8.24,900,138.76,830.2,547.5,286.39,1107.1,4691.5,95.6407,5.85,1604,107.1,3.8,10733.91016,6811.169922,3860.659912,1452.430054
1/4/00,175625,349434.7,25.72,3.8,"-28,800",50.2,63,171.3,287,7.8,8.1525,841,140.04,770.1,449,279.69,1115,4747.3,96.3318,6.02,1626,109.2,3.1,10522.33008,6805.25,3400.909912,1420.599976
